Fecha;Hora;name;stationId;Dir Viento;Humedad;Rad Solar;Temperatura 8M;Temperatura;Vel Viento;Presion Baro;Lluvia
2025-11-07;12:20;Movil 7ma;26;296.0;31.7;897.0;;-41.7;1.0;562.0;0.0
2025-11-07;12:20;Bolivia;27;24.0;54.0;938.0;;20.5;1.7;565.0;0.0
2025-11-07;12:20;Fontibon;30;120.0;36.0;;;21.6;2.4;564.0;0.0
2025-11-07;12:20;Usme;32;;;837.0;;20.9;;562.0;0.0
2025-11-07;12:20;Jazmin;34;246.0;41.0;781.0;;21.5;1.8;564.0;0.0
2025-11-07;12:20;Ciudad Bolivar;37;;;704.0;;20.1;;557.0;0.0
2025-11-07;12:20;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;12:20;Movil Fontibon;39;;;809.0;;22.0;;565.0;
2025-11-07;13:33;Usaquen;1;140.0;;;;21.3;2.9;;0.0
2025-11-07;13:33;Carvajal - Sevillana;3;294.0;;;;22.4;2.9;;0.0
2025-11-07;13:33;Tunal;4;204.0;40.0;638.0;;;1.8;562.0;0.0
2025-11-07;13:33;Centro de Alto Rendimiento;5;122.0;38.0;558.0;;20.2;1.7;564.0;0.0
2025-11-07;13:33;Las Ferias;6;48.0;35.0;;;22.5;3.5;563.0;0.0
2025-11-07;13:33;Guaymaral;8;107.0;43.0;354.0;20.3;21.1;2.5;563.0;0.1
2025-11-07;13:33;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;13:33;Suba;11;53.0;;;;24.4;2.3;;0.0
2025-11-07;13:33;Puente Aranda;13;203.0;44.0;313.0;;21.3;1.9;563.0;0.0
2025-11-07;13:33;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;13:33;San Cristobal;24;137.0;41.0;691.0;;21.7;2.2;;0.0
2025-11-07;13:33;Movil 7ma;26;308.0;29.3;1018.0;;7.5;2.4;561.0;0.0
2025-11-07;13:33;Bolivia;27;104.0;51.0;645.0;;21.0;2.2;564.0;0.0
2025-11-07;13:33;Fontibon;30;177.0;37.0;;;22.0;2.5;563.0;0.0
2025-11-07;13:33;Usme;32;;;652.0;;21.0;;561.0;0.0
2025-11-07;13:33;Jazmin;34;124.0;38.0;1135.0;;22.3;2.9;563.0;0.0
2025-11-07;13:33;Ciudad Bolivar;37;;;433.0;;19.8;;557.0;0.0
2025-11-07;13:33;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;13:33;Movil Fontibon;39;;;845.0;;22.1;;564.0;
2025-11-07;14:19;Usaquen;1;91.0;;;;21.9;1.8;;0.0
2025-11-07;14:19;Carvajal - Sevillana;3;28.0;;;;20.8;3.5;;0.0
2025-11-07;14:19;Tunal;4;265.0;43.0;642.0;;;2.2;562.0;0.0
2025-11-07;14:19;Centro de Alto Rendimiento;5;310.0;42.0;277.0;;19.9;1.6;563.0;0.0
2025-11-07;14:19;Las Ferias;6;40.0;35.0;;;21.8;3.0;562.0;0.0
2025-11-07;14:19;Guaymaral;8;147.0;48.0;170.0;19.9;20.1;1.4;562.0;0.0
2025-11-07;14:19;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;14:19;Suba;11;27.0;;;;18.6;0.9;;0.8
2025-11-07;14:19;Puente Aranda;13;245.0;62.0;145.0;;19.6;2.7;562.0;0.0
2025-11-07;14:19;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;14:19;San Cristobal;24;128.0;41.0;703.0;;21.8;2.8;;0.0
2025-11-07;14:19;Movil 7ma;26;253.0;30.2;471.0;;20.3;0.8;561.0;0.0
2025-11-07;14:19;Bolivia;27;38.0;56.0;342.0;;19.6;3.2;563.0;0.0
2025-11-07;14:19;Fontibon;30;264.0;62.0;;;18.6;4.0;563.0;0.0
2025-11-07;14:19;Usme;32;;;697.0;;21.9;;561.0;0.0
2025-11-07;14:19;Jazmin;34;299.0;54.0;336.0;;20.6;2.2;562.0;0.0
2025-11-07;14:19;Ciudad Bolivar;37;;;333.0;;19.1;;556.0;0.0
2025-11-07;14:19;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;14:19;Movil Fontibon;39;;;182.0;;19.1;;563.0;
2025-11-07;15:23;Usaquen;1;91.0;;;;21.3;2.1;;0.0
2025-11-07;15:23;Carvajal - Sevillana;3;30.0;;;;20.4;3.3;;0.0
2025-11-07;15:23;Tunal;4;291.0;58.0;454.0;;;3.4;561.0;0.0
2025-11-07;15:23;Centro de Alto Rendimiento;5;292.0;53.0;452.0;;19.6;3.1;563.0;0.0
2025-11-07;15:23;Las Ferias;6;207.0;41.0;;;23.2;2.6;562.0;0.0
2025-11-07;15:23;Guaymaral;8;114.0;40.0;359.0;22.1;22.6;2.0;562.0;0.0
